RMSE_pos,RMSE_vel,Features
1.432782701032270E-02,2.043914731545470E-01,8.00000E+00
1.432782700741470E-02,2.043914731831990E-01,8.00000E+00
1.432782700314430E-02,2.043914732662120E-01,8.00000E+00
1.432782700321510E-02,2.043914732683510E-01,8.00000E+00
1.432782700246530E-02,2.043914732663860E-01,8.00000E+00
1.432782700213710E-02,2.043914732716000E-01,8.00000E+00
1.432782700307840E-02,2.043914732672010E-01,9.00000E+00
1.432782699701330E-02,2.043914732353600E-01,9.00000E+00
1.432782699197500E-02,2.043914732459500E-01,9.00000E+00
1.432782699085730E-02,2.043914732453220E-01,9.00000E+00
1.432782698996700E-02,2.043914732484060E-01,9.00000E+00
1.432782698910070E-02,2.043914732483010E-01,9.00000E+00
1.432782698887790E-02,2.043914732441500E-01,9.00000E+00
1.432782698846090E-02,2.043914732466580E-01,9.00000E+00
1.432782700101750E-02,2.043914732742520E-01,1.00000E+01
1.432782699364000E-02,2.043914732414270E-01,1.00000E+01
1.432782699171570E-02,2.043914732474610E-01,1.00000E+01
1.432782699052800E-02,2.043914732475040E-01,1.00000E+01
1.432782698962800E-02,2.043914732434110E-01,1.00000E+01
1.432782698911470E-02,2.043914732456450E-01,1.00000E+01
1.432782698847010E-02,2.043914732488620E-01,1.00000E+01
1.432782698849580E-02,2.043914732455110E-01,1.00000E+01
